record_id,category,incident_datetime,state,city,person_name,person_age,person_gender,contact_number,record_status,crime_type,platform_involved,,financial_loss_inr,caller_number,callee_number,call_duration_sec,call_type,tower_location,imei_number,fir_number,police_station,complaint_category,officer_assigned,fir_status,platform_name,account_handle,theft_type,followers_count,recovery_status,transaction_id,bank_name,account_number_masked,transaction_amount_inr,transaction_type,merchant_name,fraud_flag,description
REC002250,Call Data Record,9/13/2024 17:08,Uttar Pradesh,Lucknow,Arjun Sinha,33,Male,9.18725E+11,Closed,,,,,9.1985E+11,9.18801E+11,3314,Incoming,Kerala,9.24505E+14,,,,,,,,,,,,,,,,,,Incoming call of duration 3314s logged via Haryana circle.
REC004641,Online FIR,10/30/2025 2:23,Andhra Pradesh,Vijayawada,Yash Sharma,37,Male,9.16222E+11,Closed,,,,,,,,,,,FIR/2026/65965,Vijayawada Cyber Crime PS,Cyber Fraud,SHO Deepak Malhotra,Closed,,,,,,,,,,,,,"Online FIR filed for Cyber Fraud, current status: Closed."
REC009486,Online Bank Transaction,4/20/2023 10:18,Bihar,Patna,Rahul Thakur,58,Male,9.18307E+11,Resolved,,,,,,,,,,,,,,,,,,,,,TXN892704789506,Kotak Mahindra Bank,XXXX2403,252522.29,RTGS,Netflix,No,"RTGS transaction of INR 252,522.29, fraud_flag=No."
REC004948,Online FIR,7/4/2025 11:03,Uttar Pradesh,Lucknow,Vihaan Bhatt,50,Male,9.17076E+11,Resolved,,,,,,,,,,,FIR/2026/15149,Lucknow Cyber Crime PS,Extortion,Inspector Neha Yadav,Chargesheet Filed,,,,,,,,,,,,,"Online FIR filed for Extortion, current status: Chargesheet Filed."
REC009921,Online Bank Transaction,6/16/2023 3:21,Andhra Pradesh,Visakhapatnam,Vihaan Chatterjee,44,Male,9.17417E+11,Escalated,,,,,,,,,,,,,,,,,,,,,TXN964351736371,ICICI Bank,XXXX4809,267471.89,Credit Card,BookMyShow,No,"Credit Card transaction of INR 267,471.89, fraud_flag=No."
REC001964,Cybercrime,8/18/2024 11:09,Gujarat,Ahmedabad,Sakshi Yadav,54,Female,9.17929E+11,Resolved,Online Job Fraud,Email,,426160.93,,,,,,,,,,,,,,,,,,,,,,,,"Online Job Fraud reported via Email, financial loss INR 426,160.93."
REC008244,Online Bank Transaction,4/5/2024 12:59,West Bengal,Kolkata,Saanvi Chauhan,35,Female,9.19243E+11,Under Review,,,,,,,,,,,,,,,,,,,,,TXN662338931946,Kotak Mahindra Bank,XXXX1087,231955.18,Debit Card,Paytm Mall,No,"Debit Card transaction of INR 231,955.18, fraud_flag=No."
REC006591,Social Media Theft,2/2/2026 19:23,Gujarat,Vadodara,Divya Rao,63,Female,9.18931E+11,Closed,,,,,,,,,,,,,,,,LinkedIn,@divya_rao897,Impersonation,65790,Recovered,,,,,,,,Impersonation reported on LinkedIn account.
REC008848,Online Bank Transaction,10/27/2023 1:52,Madhya Pradesh,Indore,Pallavi Agarwal,31,Female,9.16255E+11,Resolved,,,,,,,,,,,,,,,,,,,,,TXN799079661921,Kotak Mahindra Bank,XXXX1203,297674.7,Debit Card,Paytm Mall,No,"Debit Card transaction of INR 297,674.70, fraud_flag=No."
REC000322,Cybercrime,3/18/2024 4:32,West Bengal,Kolkata,Sneha Chauhan,40,Female,9.18478E+11,Under Review,QR Code Fraud,Mobile App,,0,,,,,,,,,,,,,,,,,,,,,,,,"QR Code Fraud reported via Mobile App, financial loss INR 0.00."
REC002679,Call Data Record,1/13/2024 23:58,Maharashtra,Pune,Aanya Mehta,64,Female,9.18116E+11,Under Review,,,,,9.1753E+11,9.19323E+11,3332,Outgoing,Kerala,8.70229E+14,,,,,,,,,,,,,,,,,,Outgoing call of duration 3332s logged via MP circle.
REC004626,Online FIR,1/18/2025 16:19,Haryana,Panipat,Vihaan Singh,52,Male,9.19901E+11,Escalated,,,,,,,,,,,FIR/2023/42581,Panipat Cyber Crime PS,Financial Fraud,DySP Kunal Das,Chargesheet Filed,,,,,,,,,,,,,"Online FIR filed for Financial Fraud, current status: Chargesheet Filed."
REC004950,Online FIR,6/5/2026 20:55,Gujarat,Ahmedabad,Sai Agarwal,30,Male,9.18596E+11,Closed,,,,,,,,,,,FIR/2024/51184,Ahmedabad Cyber Crime PS,Online Impersonation,Constable Aman Nair,Pending Verification,,,,,,,,,,,,,"Online FIR filed for Online Impersonation, current status: Pending Verification."
REC008329,Online Bank Transaction,1/2/2025 18:54,Kerala,Thiruvananthapuram,Simran Bansal,23,Female,9.17833E+11,Closed,,,,,,,,,,,,,,,,,,,,,TXN822829213566,IDBI Bank,XXXX3303,284850.47,IMPS,Flipkart,Yes,"IMPS transaction of INR 284,850.47, fraud_flag=Yes."
REC003338,Call Data Record,5/6/2025 23:12,Telangana,Hyderabad,Tarun Bose,49,Male,9.17913E+11,Open,,,,,9.18086E+11,9.18886E+11,0,Missed,West Bengal,8.85862E+14,,,,,,,,,,,,,,,,,,Missed call of duration 0s logged via Gujarat circle.
REC005590,Online FIR,7/1/2025 23:36,Rajasthan,Udaipur,Tanvi Nair,37,Female,9.1861E+11,Under Review,,,,,,,,,,,FIR/2023/73954,Udaipur Cyber Crime PS,Financial Fraud,ASI Ira Joshi,Closed,,,,,,,,,,,,,"Online FIR filed for Financial Fraud, current status: Closed."
REC000252,Cybercrime,9/11/2025 17:01,Bihar,Patna,Yash Bose,67,Male,9.19048E+11,Escalated,QR Code Fraud,WhatsApp,,77022.14,,,,,,,,,,,,,,,,,,,,,,,,"QR Code Fraud reported via WhatsApp, financial loss INR 77,022.14."
REC003974,Call Data Record,8/22/2025 16:27,Madhya Pradesh,Gwalior,Siddharth Mehta,31,Male,9.16873E+11,Under Review,,,,,9.19461E+11,9.19651E+11,1960,Outgoing,MP,8.21911E+14,,,,,,,,,,,,,,,,,,Outgoing call of duration 1960s logged via UP East circle.
REC006631,Social Media Theft,4/10/2023 23:45,West Bengal,Siliguri,Siddharth Gupta,60,Male,9.16399E+11,Escalated,,,,,,,,,,,,,,,,Instagram,@siddharth_gupta809,Data Leak,199017,Pending,,,,,,,,Data Leak reported on Instagram account.
REC005548,Online FIR,8/20/2024 15:09,Andhra Pradesh,Visakhapatnam,Bhavna Bhatt,69,Female,9.16056E+11,Open,,,,,,,,,,,FIR/2025/23397,Visakhapatnam Cyber Crime PS,Financial Fraud,DySP Aanya Chatterjee,Under Investigation,,,,,,,,,,,,,"Online FIR filed for Financial Fraud, current status: Under Investigation."
REC000036,Cybercrime,12/19/2025 9:36,Rajasthan,Jodhpur,Diya Verma,26,Female,9.19109E+11,Open,OTP Fraud,Phone Call,,0,,,,,,,,,,,,,,,,,,,,,,,,"OTP Fraud reported via Phone Call, financial loss INR 0.00."
REC008363,Online Bank Transaction,10/11/2025 18:35,Karnataka,Bengaluru,Ishaan Dubey,68,Male,9.17374E+11,Open,,,,,,,,,,,,,,,,,,,,,TXN430694538271,HDFC Bank,XXXX8716,198975.81,Credit Card,Unknown Merchant,No,"Credit Card transaction of INR 198,975.81, fraud_flag=No."
REC001514,Cybercrime,10/13/2023 10:23,Andhra Pradesh,Visakhapatnam,Manish Dubey,61,Male,9.1721E+11,Closed,Credit Card Skimming,Email,,0,,,,,,,,,,,,,,,,,,,,,,,,"Credit Card Skimming reported via Email, financial loss INR 0.00."
REC009318,Online Bank Transaction,4/24/2026 6:57,Kerala,Kozhikode,Vikram Nair,37,Male,9.17685E+11,Escalated,,,,,,,,,,,,,,,,,,,,,TXN208763584530,IDBI Bank,XXXX7489,117036.39,IMPS,Zomato,No,"IMPS transaction of INR 117,036.39, fraud_flag=No."
REC000040,Cybercrime,2/27/2024 22:04,Haryana,Faridabad,Ritika Das,50,Female,9.19719E+11,Open,Hacking,Social Media,,418061.33,,,,,,,,,,,,,,,,,,,,,,,,"Hacking reported via Social Media, financial loss INR 418,061.33."
REC004820,Online FIR,3/8/2024 16:29,Kerala,Kochi,Divya Kumar,42,Female,9.1694E+11,Under Review,,,,,,,,,,,FIR/2024/47667,Kochi Cyber Crime PS,Data Theft,SHO Kunal Mehta,Pending Verification,,,,,,,,,,,,,"Online FIR filed for Data Theft, current status: Pending Verification."
REC003466,Call Data Record,10/9/2024 1:40,Haryana,Panipat,Rajesh Gupta,22,Male,9.19085E+11,Closed,,,,,9.16948E+11,9.18908E+11,2283,Outgoing,Punjab,4.10246E+14,,,,,,,,,,,,,,,,,,Outgoing call of duration 2283s logged via Kerala circle.
REC001761,Cybercrime,3/19/2026 21:16,Maharashtra,Mumbai,Ankit Malhotra,45,Male,9.16993E+11,Under Review,Online Job Fraud,WhatsApp,,0,,,,,,,,,,,,,,,,,,,,,,,,"Online Job Fraud reported via WhatsApp, financial loss INR 0.00."
REC002305,Call Data Record,12/9/2025 3:05,Gujarat,Ahmedabad,Arjun Mishra,62,Male,9.18242E+11,Closed,,,,,9.19676E+11,9.18E+11,0,Missed,West Bengal,8.47107E+14,,,,,,,,,,,,,,,,,,Missed call of duration 0s logged via Karnataka circle.
REC003724,Call Data Record,6/23/2026 6:22,Gujarat,Vadodara,Diya Bose,35,Female,9.18863E+11,Open,,,,,9.17366E+11,9.16436E+11,439,Outgoing,Punjab,5.70237E+14,,,,,,,,,,,,,,,,,,Outgoing call of duration 439s logged via West Bengal circle.
REC008285,Online Bank Transaction,5/15/2024 17:02,Karnataka,Mysuru,Deepak Bhatt,67,Male,9.16826E+11,Closed,,,,,,,,,,,,,,,,,,,,,TXN968628054448,IDBI Bank,XXXX9584,148160.23,Debit Card,Ola,Yes,"Debit Card transaction of INR 148,160.23, fraud_flag=Yes."
REC004994,Online FIR,3/29/2025 4:31,Haryana,Faridabad,Komal Iyer,65,Female,9.19564E+11,Under Review,,,,,,,,,,,FIR/2024/21268,Faridabad Cyber Crime PS,Data Theft,DySP Shreya Bhatt,Pending Verification,,,,,,,,,,,,,"Online FIR filed for Data Theft, current status: Pending Verification."
REC008128,Online Bank Transaction,4/10/2023 18:47,Tamil Nadu,Chennai,Aman Rao,70,Male,9.18107E+11,Open,,,,,,,,,,,,,,,,,,,,,TXN460692328143,Kotak Mahindra Bank,XXXX6429,166137.79,RTGS,Myntra,No,"RTGS transaction of INR 166,137.79, fraud_flag=No."
REC003033,Call Data Record,2/20/2025 2:30,Haryana,Panipat,Riya Kapoor,43,Female,9.17825E+11,Open,,,,,9.18E+11,9.18064E+11,1460,Outgoing,West Bengal,5.95187E+14,,,,,,,,,,,,,,,,,,Outgoing call of duration 1460s logged via Delhi circle.
REC007939,Social Media Theft,10/17/2025 19:03,Bihar,Gaya,Aditya Kumar,41,Male,9.16763E+11,Resolved,,,,,,,,,,,,,,,,Snapchat,@aditya_kumar838,Fake Profile Created,131801,Under Review,,,,,,,,Fake Profile Created reported on Snapchat account.
REC003040,Call Data Record,7/7/2023 7:00,Rajasthan,Jaipur,Payal Bhatt,45,Female,9.18902E+11,Closed,,,,,9.19763E+11,9.19573E+11,792,Outgoing,Mumbai,3.38608E+14,,,,,,,,,,,,,,,,,,Outgoing call of duration 792s logged via UP East circle.
REC009656,Online Bank Transaction,6/24/2026 9:01,Delhi,Dwarka,Ira Yadav,63,Female,9.18935E+11,Escalated,,,,,,,,,,,,,,,,,,,,,TXN167148784522,IDBI Bank,XXXX3149,263930.98,Net Banking,IRCTC,No,"Net Banking transaction of INR 263,930.98, fraud_flag=No."
REC002546,Call Data Record,9/19/2025 3:57,Delhi,Rohini,Aditya Bose,24,Male,9.17307E+11,Under Review,,,,,9.17437E+11,9.19452E+11,362,Incoming,Mumbai,1.97158E+14,,,,,,,,,,,,,,,,,,Incoming call of duration 362s logged via Mumbai circle.
REC002593,Call Data Record,8/18/2025 23:24,Uttar Pradesh,Kanpur,Aanya Singh,61,Female,9.19716E+11,Under Review,,,,,9.18983E+11,9.17686E+11,0,Missed,Haryana,2.61091E+14,,,,,,,,,,,,,,,,,,Missed call of duration 0s logged via Gujarat circle.
REC001189,Cybercrime,4/25/2026 15:44,Tamil Nadu,Coimbatore,Shreya Kumar,27,Female,9.17689E+11,Escalated,Sextortion,Email,,0,,,,,,,,,,,,,,,,,,,,,,,,"Sextortion reported via Email, financial loss INR 0.00."
REC007967,Social Media Theft,6/13/2024 4:20,Telangana,Warangal,Aarav Yadav,38,Male,9.17689E+11,Escalated,,,,,,,,,,,,,,,,WhatsApp,@aarav_yadav339,Password Compromised,57221,Recovered,,,,,,,,Password Compromised reported on WhatsApp account.
REC006078,Social Media Theft,11/25/2024 17:49,Tamil Nadu,Coimbatore,Swati Mishra,70,Female,9.1609E+11,Resolved,,,,,,,,,,,,,,,,Twitter/X,@swati_mishra835,Unauthorized Access,141340,Recovered,,,,,,,,Unauthorized Access reported on Twitter/X account.
REC000108,Cybercrime,8/13/2025 5:59,Kerala,Thiruvananthapuram,Vivaan Thakur,67,Male,9.16331E+11,Under Review,QR Code Fraud,Email,,0,,,,,,,,,,,,,,,,,,,,,,,,"QR Code Fraud reported via Email, financial loss INR 0.00."
REC001316,Cybercrime,1/10/2023 23:20,Tamil Nadu,Coimbatore,Myra Patel,51,Female,9.18119E+11,Resolved,Online Job Fraud,SMS,,236569.17,,,,,,,,,,,,,,,,,,,,,,,,"Online Job Fraud reported via SMS, financial loss INR 236,569.17."
REC008188,Online Bank Transaction,9/25/2023 16:11,Karnataka,Mysuru,Saanvi Gupta,45,Female,9.18808E+11,Escalated,,,,,,,,,,,,,,,,,,,,,TXN181372068835,Axis Bank,XXXX9381,116104.12,UPI,IRCTC,No,"UPI transaction of INR 116,104.12, fraud_flag=No."
REC002754,Call Data Record,6/15/2023 7:31,Punjab,Chandigarh,Siddharth Ghosh,48,Male,9.19109E+11,Closed,,,,,9.16236E+11,9.19142E+11,114,Outgoing,Haryana,1.37183E+14,,,,,,,,,,,,,,,,,,Outgoing call of duration 114s logged via Delhi circle.
REC009754,Online Bank Transaction,7/29/2026 3:32,Delhi,Rohini,Saanvi Joshi,38,Female,9.19415E+11,Resolved,,,,,,,,,,,,,,,,,,,,,TXN480709271977,HDFC Bank,XXXX5404,89391.69,RTGS,Uber,No,"RTGS transaction of INR 89,391.69, fraud_flag=No."
REC006232,Social Media Theft,1/10/2023 20:35,Telangana,Hyderabad,Ira Chauhan,52,Female,9.18709E+11,Escalated,,,,,,,,,,,,,,,,Telegram,@ira_chauhan584,Data Leak,47036,Pending,,,,,,,,Data Leak reported on Telegram account.
REC002877,Call Data Record,12/27/2025 23:50,West Bengal,Kolkata,Suresh Saxena,48,Male,9.1831E+11,Escalated,,,,,9.17041E+11,9.17214E+11,2249,Incoming,Mumbai,4.68704E+14,,,,,,,,,,,,,,,,,,Incoming call of duration 2249s logged via Karnataka circle.
REC005324,Online FIR,11/27/2024 9:28,Punjab,Ludhiana,Naveen Mishra,38,Male,9.17029E+11,Under Review,,,,,,,,,,,FIR/2023/93195,Ludhiana Cyber Crime PS,Financial Fraud,DySP Pallavi Verma,Under Investigation,,,,,,,,,,,,,"Online FIR filed for Financial Fraud, current status: Under Investigation."
REC000800,Cybercrime,6/5/2026 23:55,Madhya Pradesh,Bhopal,Simran Iyer,24,Female,9.16198E+11,Under Review,Hacking,SMS,,46163.63,,,,,,,,,,,,,,,,,,,,,,,,"Hacking reported via SMS, financial loss INR 46,163.63."
REC003571,Call Data Record,3/12/2026 2:32,Haryana,Gurugram,Swati Malhotra,32,Female,9.19259E+11,Under Review,,,,,9.1603E+11,9.16073E+11,1334,Incoming,Haryana,3.09512E+13,,,,,,,,,,,,,,,,,,Incoming call of duration 1334s logged via Karnataka circle.
REC002895,Call Data Record,9/24/2025 6:59,Haryana,Faridabad,Aditya Joshi,33,Male,9.19039E+11,Open,,,,,9.17606E+11,9.1667E+11,884,Incoming,Rajasthan,1.05352E+14,,,,,,,,,,,,,,,,,,Incoming call of duration 884s logged via Mumbai circle.
REC002928,Call Data Record,11/8/2025 0:37,Andhra Pradesh,Visakhapatnam,Aarav Joshi,50,Male,9.17499E+11,Resolved,,,,,9.19809E+11,9.18997E+11,1954,Outgoing,AP,1.78918E+14,,,,,,,,,,,,,,,,,,Outgoing call of duration 1954s logged via Tamil Nadu circle.
REC008179,Online Bank Transaction,9/29/2023 22:14,Gujarat,Ahmedabad,Suresh Mehta,34,Male,9.19352E+11,Closed,,,,,,,,,,,,,,,,,,,,,TXN682285321453,Axis Bank,XXXX8559,250768.55,UPI,Reliance Digital,No,"UPI transaction of INR 250,768.55, fraud_flag=No."
REC000972,Cybercrime,5/29/2026 7:18,Haryana,Panipat,Meera Mishra,60,Female,9.19801E+11,Escalated,Phishing,WhatsApp,,443117.43,,,,,,,,,,,,,,,,,,,,,,,,"Phishing reported via WhatsApp, financial loss INR 443,117.43."
REC006688,Social Media Theft,5/6/2024 18:11,Uttar Pradesh,Lucknow,Ananya Mishra,56,Female,9.18206E+11,Open,,,,,,,,,,,,,,,,Instagram,@ananya_mishra846,Data Leak,137668,Pending,,,,,,,,Data Leak reported on Instagram account.
REC008576,Online Bank Transaction,5/18/2026 10:39,Bihar,Gaya,Bhavna Nair,28,Female,9.16993E+11,Resolved,,,,,,,,,,,,,,,,,,,,,TXN118480491121,ICICI Bank,XXXX2459,297885.65,RTGS,Amazon,No,"RTGS transaction of INR 297,885.65, fraud_flag=No."
REC002021,Call Data Record,3/23/2024 10:10,Telangana,Hyderabad,Yash Dubey,22,Male,9.1912E+11,Escalated,,,,,9.16881E+11,9.16796E+11,0,Missed,Karnataka,1.25677E+14,,,,,,,,,,,,,,,,,,Missed call of duration 0s logged via Punjab circle.
REC009055,Online Bank Transaction,10/15/2025 20:08,Madhya Pradesh,Indore,Kavya Iyer,31,Female,9.17004E+11,Under Review,,,,,,,,,,,,,,,,,,,,,TXN784846586596,Kotak Mahindra Bank,XXXX8593,227457.51,IMPS,Ola,No,"IMPS transaction of INR 227,457.51, fraud_flag=No."
REC000953,Cybercrime,1/27/2023 5:36,Haryana,Panipat,Sai Ghosh,58,Male,9.16944E+11,Under Review,QR Code Fraud,Website,,0,,,,,,,,,,,,,,,,,,,,,,,,"QR Code Fraud reported via Website, financial loss INR 0.00."
REC005360,Online FIR,4/26/2023 1:20,Karnataka,Bengaluru,Pooja Gupta,51,Female,9.19524E+11,Open,,,,,,,,,,,FIR/2023/95755,Bengaluru Cyber Crime PS,Online Impersonation,Inspector Pooja Verma,Pending Verification,,,,,,,,,,,,,"Online FIR filed for Online Impersonation, current status: Pending Verification."
REC003858,Call Data Record,6/16/2024 22:11,Rajasthan,Jodhpur,Swati Sinha,64,Female,9.17812E+11,Closed,,,,,9.1621E+11,9.16006E+11,240,Outgoing,AP,4.25823E+14,,,,,,,,,,,,,,,,,,Outgoing call of duration 240s logged via West Bengal circle.
REC005862,Online FIR,3/11/2025 16:07,Rajasthan,Jodhpur,Kavya Ghosh,59,Female,9.17077E+11,Closed,,,,,,,,,,,FIR/2025/97950,Jodhpur Cyber Crime PS,Online Impersonation,Constable Riya Pillai,Chargesheet Filed,,,,,,,,,,,,,"Online FIR filed for Online Impersonation, current status: Chargesheet Filed."
REC003146,Call Data Record,2/5/2024 6:55,Maharashtra,Pune,Sai Thakur,46,Male,9.17331E+11,Open,,,,,9.19034E+11,9.17835E+11,2299,Incoming,Gujarat,6.85684E+14,,,,,,,,,,,,,,,,,,Incoming call of duration 2299s logged via UP West circle.
REC003306,Call Data Record,5/8/2026 14:13,Karnataka,Mangaluru,Naveen Gupta,39,Male,9.19966E+11,Open,,,,,9.19605E+11,9.1701E+11,679,Outgoing,UP West,1.57443E+14,,,,,,,,,,,,,,,,,,Outgoing call of duration 679s logged via AP circle.
REC003007,Call Data Record,3/22/2025 16:04,Andhra Pradesh,Visakhapatnam,Sandeep Nair,53,Male,9.16804E+11,Escalated,,,,,9.18532E+11,9.18166E+11,3307,Outgoing,AP,1.3644E+14,,,,,,,,,,,,,,,,,,Outgoing call of duration 3307s logged via Gujarat circle.
REC009002,Online Bank Transaction,4/29/2026 5:33,Maharashtra,Mumbai,Pooja Dubey,57,Female,9.17518E+11,Closed,,,,,,,,,,,,,,,,,,,,,TXN144959822730,IndusInd Bank,XXXX7255,284497.12,UPI,Flipkart,No,"UPI transaction of INR 284,497.12, fraud_flag=No."
REC007771,Social Media Theft,1/7/2026 23:01,Haryana,Panipat,Neha Kapoor,68,Female,9.16787E+11,Under Review,,,,,,,,,,,,,,,,WhatsApp,@neha_kapoor846,Account Hacked,11866,Not Recovered,,,,,,,,Account Hacked reported on WhatsApp account.
REC007439,Social Media Theft,3/25/2026 4:43,Madhya Pradesh,Indore,Ritika Chatterjee,22,Female,9.18753E+11,Resolved,,,,,,,,,,,,,,,,Telegram,@ritika_chatterjee720,Unauthorized Access,3576,Pending,,,,,,,,Unauthorized Access reported on Telegram account.
REC007943,Social Media Theft,3/2/2025 22:50,West Bengal,Howrah,Saanvi Yadav,48,Female,9.1993E+11,Closed,,,,,,,,,,,,,,,,Instagram,@saanvi_yadav715,Unauthorized Access,84180,Not Recovered,,,,,,,,Unauthorized Access reported on Instagram account.
REC009239,Online Bank Transaction,3/22/2025 23:29,West Bengal,Howrah,Ritika Sharma,21,Female,9.17959E+11,Escalated,,,,,,,,,,,,,,,,,,,,,TXN173905074265,IndusInd Bank,XXXX1475,57635.56,Net Banking,BookMyShow,No,"Net Banking transaction of INR 57,635.56, fraud_flag=No."
